	InChIKey	UniProt	Activity
0	SQASUMDIRUSLRF-UXCGFIHZSA-N	P05177	Active
1	WBCVNVHMWHVHQN-UHFFFAOYSA-N	P05177	Active
2	WOJKMKPLQQABSF-UHFFFAOYSA-N	P05177	Active
3	YAINLXWGEQQWJH-UHFFFAOYSA-N	P05177	Active
4	ZFOUCGXCHMOGAD-UHFFFAOYSA-N	P05177	Active
5	NZDPZXCOAQRBSV-UHFFFAOYSA-N	P05177	Active
6	ZGCCUMNEHQOVIP-UHFFFAOYSA-N	P05177	Active
7	QZDMSRWCNXBDIE-UHFFFAOYSA-N	P05177	Active
8	YIDPKGRSWRIPAA-UHFFFAOYSA-N	P05177	Active
9	ZAEWCSQWPTWQTL-UHFFFAOYSA-N	P05177	Active
10	ALOUEMCFHLKHJL-UHFFFAOYSA-N	P05177	Active
11	UXKMSKHJGSKHMM-UHFFFAOYSA-N	P05177	Active
12	SFCGFPORNBCDLJ-UHFFFAOYSA-N	P05177	Active
13	JNZPJZAPPJGBLH-UHFFFAOYSA-N	P05177	Active
14	NAWVPXAQZGRRBB-UHFFFAOYSA-N	P05177	Active
15	YPFPHVIHIWFUMZ-UHFFFAOYSA-N	P05177	Active
16	CITSPJPHVMRZRI-UHFFFAOYSA-N	P05177	Active
17	XDLPTRXKGJMEAX-UHFFFAOYSA-N	P05177	Active
18	SLAOLYSGSYNANU-STZFKDTASA-N	P05177	Active
19	UPRJRIMOUHFTKA-UFFVCSGVSA-N	P05177	Active
20	LBBDQRSVGFIIQV-UHFFFAOYSA-N	P05177	Active
21	IPQDSFVSQSHOIV-UHFFFAOYSA-N	P05177	Active
22	FNQSVXZRKGAWKW-UHFFFAOYSA-N	P05177	Active
23	PZOIITKXNSPDLC-PCLIKHOPSA-N	P05177	Active
24	DAICCKGNORJWMS-UXBLZVDNSA-N	P05177	Active
25	BZJRHGCXHGIZDB-XQRVVYSFSA-N	P05177	Active
26	JQUWCJPNSYGTEW-UHFFFAOYSA-N	P05177	Active
